Date,Revenue,Year,Month,Day,DayOfWeek,Quarter,WeekOfYear,IsWeekend,IsMonthStart,IsMonthEnd,DayOfWeek_sin,DayOfWeek_cos,Month_sin,Month_cos,Day_sin,Day_cos,Revenue_Lag_7,Revenue_Lag_14,Revenue_Lag_30,Revenue_RollingMean_7,Revenue_RollingMean_14,Revenue_RollingMean_30,Revenue_RollingStd_7,Revenue_RollingStd_14,Revenue_RollingStd_30,Revenue_RollingMin_7,Revenue_RollingMax_7,Revenue_RollingMin_30,Revenue_RollingMax_30,Revenue_EMA_7,Revenue_EMA_30,IsHoliday,IsPreHoliday,IsPostHoliday,IsMajorHoliday,TransactionCount,UniqueCustomers,UniqueEmployees,TotalRevenue,AvgTransactionValue,StdTransactionValue,TotalDiscount,TotalFOC,AvgRevenuePerCustomer,AvgRevenuePerEmployee,DiscountRate,FOCRate,ServiceDiversity,UniqueServices,Weekend_x_Month,Holiday_x_Weekend,TransactionCount_x_AvgValue,UniqueCustomers_x_UniqueEmployees,ServiceDiversity_x_TransactionCount,DiscountRate_x_IsWeekend,MonthEnd_x_Revenue
2021-01-06,760.0,2021,1,6,2,1,1,0,0,0,0.9749279121818236,-0.22252093395631434,0.49999999999999994,0.8660254037844387,0.9377521321470804,0.3473052528448203,,,,760.0,760.0,760.0,,,,760.0,760.0,760.0,760.0,760.0,760.0,0,0,1,0,2.0,2.0,2.0,380.0,190.0,0.0,380.0,0.0,126.66666666666667,126.66666666666667,0.49934296977660975,0.0,0.0,1.0,0,0,380.0,4.0,0.0,0.0,0.0
2021-10-07,1160.0,2021,10,7,3,4,40,0,0,0,0.43388373911755823,-0.900968867902419,-0.8660254037844386,0.5000000000000001,0.9884683243281114,0.1514277775045767,,,,960.0,960.0,960.0,282.842712474619,282.842712474619,282.842712474619,760.0,1160.0,760.0,1160.0,860.0,785.8064516129033,0,0,0,0,1.0,1.0,1.0,240.0,240.0,0.0,240.0,0.0,120.0,120.0,0.498960498960499,0.0,0.0,1.0,0,0,240.0,1.0,0.0,0.0,0.0
2021-10-09,5448.0,2021,10,9,5,4,40,1,0,0,-0.9749279121818236,-0.2225209339563146,-0.8660254037844386,0.5000000000000001,0.9680771188662043,-0.2506525322587204,,,,2456.0,2456.0,2456.0,2598.8551325535636,2598.8551325535636,2598.8551325535636,760.0,5448.0,760.0,5448.0,2007.0,1086.5931321540065,0,0,0,0,3.0,3.0,1.0,1684.0,561.3333333333334,271.30302861069083,3376.0,0.0,421.0,842.0,0.667061845485082,0.0,1.584962500721156,3.0,10,0,1684.0,3.0,4.754887502163468,0.667061845485082,0.0
2021-10-10,1360.0,2021,10,10,6,4,40,1,0,0,-0.7818314824680299,0.6234898018587334,-0.8660254037844386,0.5000000000000001,0.8978045395707416,-0.4403941515576344,,,,2182.0,2182.0,2182.0,2191.575384664344,2191.575384664344,2191.575384664344,760.0,5448.0,760.0,5448.0,1845.25,1104.2322849182642,0,0,0,0,2.0,2.0,2.0,190.0,95.0,134.35028842544403,190.0,0.0,63.333333333333336,63.333333333333336,0.49868766404199477,0.0,0.0,1.0,10,0,190.0,4.0,0.0,0.49868766404199477,0.0
2021-10-11,760.0,2021,10,11,0,4,41,0,0,0,0.0,1.0,-0.8660254037844386,0.5000000000000001,0.7907757369376989,-0.6121059825476626,,,,1897.6,1897.6,1897.6,2001.6665056896966,2001.6665056896966,2001.6665056896966,760.0,5448.0,760.0,5448.0,1573.9375,1082.0237504074084,0,0,0,0,1.0,1.0,1.0,190.0,190.0,0.0,190.0,0.0,95.0,95.0,0.49868766404199477,0.0,0.0,1.0,0,0,190.0,1.0,0.0,0.0,0.0
2021-10-12,14488.0,2021,10,12,1,4,41,0,0,0,0.7818314824680298,0.6234898018587336,-0.8660254037844386,0.5000000000000001,0.6513724827222223,-0.7587581226927909,,,,3996.0,3996.0,3996.0,5442.888056905083,5442.888056905083,5442.888056905083,760.0,14488.0,760.0,14488.0,4802.453125,1946.925443929511,0,1,0,0,4.0,3.0,2.0,2380.0,595.0,411.9465984809196,2380.0,0.0,595.0,793.3333333333334,0.4998949800462088,0.0,1.5,3.0,0,0,2380.0,6.0,6.0,0.0,0.0
2021-10-14,4780.0,2021,10,14,3,4,41,0,0,0,0.43388373911755823,-0.900968867902419,-0.8660254037844386,0.5000000000000001,0.29936312297335804,-0.9541392564000488,,,,4108.0,4108.0,4108.0,4977.482630138787,4977.482630138787,4977.482630138787,760.0,14488.0,760.0,14488.0,4796.83984375,2129.704447546962,0,1,0,0,2.0,2.0,2.0,1430.0,715.0,332.34018715767735,950.0,0.0,476.6666666666667,476.6666666666667,0.3989920201595968,0.0,1.0,2.0,0,0,1430.0,4.0,2.0,0.0,0.0
2021-10-15,4800.0,2021,10,15,4,4,41,0,0,0,-0.433883739117558,-0.9009688679024191,-0.8660254037844386,0.5000000000000001,0.10116832198743272,-0.994869323391895,760.0,,,4685.142857142857,4194.5,4194.5,4753.772236465529,4614.743546503966,4614.743546503966,760.0,14488.0,760.0,14488.0,4797.6298828125,2301.981579963287,0,1,0,0,1.0,1.0,1.0,2400.0,2400.0,0.0,2400.0,0.0,1200.0,1200.0,0.49989585503020206,0.0,0.0,1.0,0,0,2400.0,1.0,0.0,0.0,0.0
2021-10-16,380.0,2021,10,16,5,4,41,1,0,0,-0.9749279121818236,-0.2225209339563146,-0.8660254037844386,0.5000000000000001,-0.10116832198743204,-0.9948693233918952,1160.0,,,4573.714285714285,3770.6666666666665,3770.6666666666665,4858.1685751692385,4500.065332859069,4500.065332859069,380.0,14488.0,380.0,14488.0,3693.222412109375,2177.9827683527524,0,1,0,0,1.0,1.0,1.0,190.0,190.0,0.0,190.0,0.0,95.0,95.0,0.49868766404199477,0.0,0.0,1.0,10,0,190.0,1.0,0.0,0.49868766404199477,0.0
2021-10-17,4412.0,2021,10,17,6,4,41,1,0,0,-0.7818314824680299,0.6234898018587334,-0.8660254037844386,0.5000000000000001,-0.2993631229733582,-0.9541392564000488,5448.0,,,4425.714285714285,3834.8,3834.8,4842.851422949284,4247.546763852178,4247.546763852178,380.0,14488.0,380.0,14488.0,3872.9168090820312,2322.1129123299943,0,1,0,0,3.0,1.0,1.0,1148.0,382.6666666666667,501.19989358870913,950.0,0.0,574.0,574.0,0.45259647451167223,0.0,0.0,1.0,10,0,1148.0,1.0,0.0,0.45259647451167223,0.0
